avg_climb,alt_gain,duration_s,entry_alt
-0.15218932298995658,0.7225316209320065,1.1847463002156784,-0.7370498293059363
-1.0480084332511976,-0.8937729695937838,-0.9535736738487658,-0.1257325481823263
0.2767854551352102,-0.4164432513390914,-0.5409154332398379,-0.46847108940244864
-0.6797872302842408,-0.4920598403695377,-0.24080034916061768,-0.889378069848213
-0.9901550977890783,-0.5818545398431927,-0.24080034916061768,-0.7230195966244108
-1.1205312348642407,-0.8512386382641578,-0.7566231499217775,-0.5907345456271706
-0.28020234024929414,0.5712984428711139,1.1097175291958734,-0.6668986658983089
-0.8559422127798153,-0.8465126014497549,-0.8785449028289607,-1.1379136202066642
-1.0738498099303406,-0.8843208959649781,-0.9348164810938145,-0.688946174397849
-0.8180448297638376,-0.8181563805633375,-0.8504091136965338,-0.8232355443495929
-1.1537673278594993,-0.8087043069345318,-0.7003515716569237,-0.8933867077572203
1.3598284083107535,0.6799972896023805,0.16247929507083453,-0.16982756518140635
0.4004794423675675,0.03253024602918375,-0.06260701798858066,-0.16782324622690273
-0.8198640152507431,-0.8559646750785607,-0.9348164810938145,-0.17183188413591
-0.6682395140220553,-0.8512386382641578,-0.9817094629811927,-0.16581892727239908
0.018767400946625164,0.8076002835912587,1.072203143685971,-0.18586211681743547
-0.29785290351025745,0.19321549771888222,0.5657589393022867,-1.35037142938405
-0.9219215555251641,-0.7189096074608767,-0.5971870115046918,-0.8192269064405856
-0.6507171517339949,-0.43534739859670296,-0.1282571926309101,-0.5466395286280906
-0.7918410437613804,-0.8276084541921434,-0.8691663064514851,-0.3502162710867339
-0.4254837782121636,-0.8228824173777404,-0.9254378847163389,-0.9915983365278985
0.5878246077762858,0.609106737386337,0.4532157827725791,-1.0236674397999568
-1.0055474602081078,-0.657471128873639,-0.40023648757770347,-0.5185790632650397
-0.29043626916194615,-0.4731556931119261,-0.4189936803326547,-0.5526524854916015
-0.5012472244497197,-0.17541537380454367,0.08745052405102946,-0.8853694319392057
-0.07629070429907722,-0.4873338035551348,-0.5221582404848867,-0.76110165675998
-0.5180980824161948,-0.7850741228625172,-0.8410305173190582,-0.6147863730812143
-0.44834027242670016,0.3113664180789546,0.865874023381507,-1.2481511627043644
-0.407417148938529,-0.45425154585431454,-0.37210069844527655,-0.9495076384833221
-0.8925900468461945,-0.8654167487073665,-0.8973020955839119,-2.0378528307787986
